N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
86,LG디스플레이,"12,140",310,+2.62%,"5,000","43,439","357,816",18.19,"836,291",-0.93,-26.71,
87,한진칼,"64,300","1,100",+1.74%,"2,500","42,928","66,762",17.33,"16,078",17.11,33.64,
88,코웨이,"56,700",700,+1.25%,500,"41,844","73,800",61.05,"35,102",9.38,21.72,
90,현대차2우B,"113,500","1,800",+1.61%,"5,000","40,997","36,121",61.30,"23,613",2.73,N/A,
91,금호석유,"139,200","1,100",+0.80%,"5,000","39,738","28,548",19.39,"31,879",8.86,19.11,
92,GS,"42,300",350,+0.83%,"5,000","39,303","92,915",23.25,"31,421",2.91,18.86,
93,현대건설,"34,900",200,+0.58%,"5,000","38,863","111,356",22.55,"102,147",11.96,5.49,
95,삼성카드,"32,150",50,+0.16%,"5,000","37,249","115,859",6.09,"16,373",6.25,8.08,
96,삼성증권,"40,450",400,+1.00%,"5,000","36,122","89,300",34.67,"46,239",6.39,6.88,
97,강원랜드,"16,600",100,+0.61%,500,"35,514","213,940",13.61,"116,647",12.85,3.47,
98,한국금융지주,"63,200",500,+0.80%,"5,000","35,219","55,726",40.08,"8,131",4.87,8.45,
99,SKC,"91,000",0,0.00%,"5,000","34,460","37,868",11.03,"26,707",-9.58,-3.67,
100,F&F,"89,500",400,+0.45%,100,"34,285","38,307",13.48,"16,190",7.01,60.40,
101,NH투자증권,"10,240",20,+0.20%,"5,000","33,963","331,666",15.92,"115,385",6.69,4.32,
102,현대미포조선,"78,700",600,+0.77%,"5,000","31,434","39,942",24.49,"28,841",-17.18,-2.07,
103,한화시스템,"16,480",360,+2.23%,"5,000","31,134","188,919",5.11,"326,719",12.00,-3.63,
104,HD현대일렉트릭,"84,800",700,+0.83%,"5,000","30,568","36,047",20.23,"51,773",18.35,22.13,
106,LS,"92,900","2,100",+2.31%,"5,000","29,914","32,200",11.74,"85,636",9.00,12.00,
107,롯데지주,"28,050",150,+0.54%,200,"29,427","104,909",6.95,"11,309",-120.91,2.42,
108,현대로템,"26,800",150,+0.56%,"5,000","29,250","109,142",10.36,"127,816",12.29,14.06,
110,KODEX 종합채권(AA-이상)액티브,"109,015",20,+0.02%,0,"28,651","26,282",0.00,415,N/A,N/A,
111,쌍용C&E,"5,680",100,+1.79%,100,"28,326","498,697",2.32,"120,155",12.29,7.87,
113,CJ대한통운,"121,000","4,000",+3.42%,"5,000","27,603","22,812",13.18,"46,666",14.73,5.09,
114,현대해상,"30,700",300,+0.99%,500,"27,446","89,400",36.77,"39,962",3.73,12.44,
115,현대차우,"112,100","1,800",+1.63%,"5,000","27,031","24,113",61.63,"20,995",2.70,N/A,
116,DB하이텍,"60,000",300,+0.50%,"5,000","26,639","44,399",20.59,"31,603",9.62,40.73,
117,TIGER 미국나스닥100,"97,795",135,+0.14%,0,"26,141","26,730",0.01,"33,052",N/A,N/A,
118,키움증권,"99,600",900,+0.91%,"5,000","26,122","26,227",24.93,"9,456",3.80,11.50,
121,KODEX 24-12 은행채(AA+이상)액티브,"10,135",0,0.00%,0,"25,389","250,510",0.00,"8,045",N/A,N/A,
